run_id,nose_frac,nose_power,tail_frac,backlight_deg,boattail_deg,frontal_area_m2,stl_file,Cd,Cl,drag_N,lift_N
run_047,0.33033,2.99026,0.39837,17.28795,8.48181,0.10484,geometries/run_047.stl,0.09911,-0.02910,5.7278,-1.6818
run_048,0.32862,2.85840,0.21618,23.01442,4.23233,0.10484,geometries/run_048.stl,0.20452,0.15504,11.8196,8.9601
run_049,0.23689,3.44577,0.31997,22.21371,5.59569,0.10484,geometries/run_049.stl,0.15783,0.08796,9.1212,5.0835
run_050,0.21725,2.73193,0.23030,12.24003,18.96056,0.10484,geometries/run_050.stl,0.10974,-0.14388,6.3421,-8.3153
run_051,0.20709,2.25382,0.19561,10.61113,5.06759,0.10484,geometries/run_051.stl,0.19786,-0.03450,11.4350,-1.9936
run_052,0.20642,2.69115,0.31394,25.59503,3.51317,0.10484,geometries/run_052.stl,0.16929,0.17882,9.7840,10.3344
run_053,0.19306,1.51490,0.24135,15.60094,17.82981,0.10484,geometries/run_053.stl,0.13084,-0.10283,7.5614,-5.9430
run_054,0.30657,2.03803,0.18947,28.00185,13.38655,0.10484,geometries/run_054.stl,0.16673,0.11282,9.6359,6.5202
run_055,0.21601,2.95171,0.35103,19.19271,15.69148,0.10484,geometries/run_055.stl,0.08412,-0.10579,4.8617,-6.1142
run_056,0.29159,1.64205,0.15159,12.86471,14.23813,0.10484,geometries/run_056.stl,0.14538,-0.03959,8.4021,-2.2878
run_057,0.16597,1.81147,0.21797,11.14088,9.98305,0.10484,geometries/run_057.stl,0.17205,-0.07670,9.9434,-4.4329
run_058,0.16028,3.99892,0.38141,26.43768,7.85940,0.10484,geometries/run_058.stl,0.14391,0.04560,8.3167,2.6351
run_059,0.24516,3.60459,0.30875,6.29594,1.55959,0.10484,geometries/run_059.stl,0.20928,-0.06796,12.0947,-3.9277
run_060,0.28370,2.78886,0.23847,7.18454,14.69040,0.10484,geometries/run_060.stl,0.11069,-0.16235,6.3972,-9.3826
run_061,0.18590,1.59614,0.17992,19.73615,6.14337,0.10484,geometries/run_061.stl,0.22068,0.06919,12.7537,3.9987
run_062,0.25087,3.82465,0.25785,27.63177,2.10560,0.10484,geometries/run_062.stl,0.21635,0.23855,12.5034,13.7865
run_063,0.33945,2.51293,0.31524,27.22982,8.50852,0.10484,geometries/run_063.stl,0.12963,0.12222,7.4914,7.0635
run_064,0.27181,3.59415,0.31182,9.26345,0.35857,0.10484,geometries/run_064.stl,0.21828,-0.00646,12.6150,-0.3736
run_065,0.31225,3.17074,0.27181,16.95148,2.78531,0.10484,geometries/run_065.stl,0.18907,0.08141,10.9267,4.7049
run_066,0.21211,2.53745,0.29022,10.86235,6.97798,0.10484,geometries/run_066.stl,0.15830,-0.06283,9.1488,-3.6310
